Name,Type,Style,"Description",Company,Image,Bes-Tea
Organic Nepalese ,Black,Loose,Organic Nepalese black tea with a delicate sweetness from a high altitude Maloom Estate in Nepal,Jolie Tea Company,organic-nepalese.webp,false
Packs a Peach,Tisane,Loose,"It's all peachy with this succulent blend of lip smacking flavors. This sweet brew sings of peach, papaya, apple and roasted chicory, creating a soft combo that really packs a peach. Also great served over ice. ",T2,packs-a-peach.jpeg,false
Peach Tranquility,Tisane,Bagged,"Soft peach shimmers alongside tropical pineapple with delicate herbal notes of lemon verbena and a chamomile finish.  It's a juicy take of tea thats full of fruiit, fragrance, and flavor.  Vibrant flavors of apple, rose hips, candied pineapple, chamomile flower, licorice root, lemon verbena, and peach of course.",Teavanna,peach-tranquility.jpg,false
Pistachio Torte,Black,Loose,"*You can taste so many flavors within the layers of this tea (just like the layers in a torte!) The tea smells slightly sweet, like frosting; as well as creamy and nutty from the filling; and fresh and toasty from the pastry. The combination of pistachio, marzipan, and amaretto will bring forth memories of nutty holiday treats and the loved ones we share them with.",Fava Tea Company,pistachio-torte.png,true
Pura Vida,Green,Loose,"Relax and rejuvenate with this ultra-refreshing blend of green tea, pineapple, apple, mango, coconut and a touch of soothing chamomile. With its creamy tropical flavours, it’ll quench your summer thirst and have you yearning for that next sunny getaway. Did I mention it tastes like a piña colada? Just blend it with ice, milk and a splash of rum. Now that’s chill…",DAVIDsTEA,pura-vida.jpeg,false
Pure Kenya,Black,Loose,"100% pure Kenyan Tea is characterised by its intense brightness. Richest, smoothest blend from east of the Rift Valley in Kenya. ",Kericho Gold,pure-kenya.avif,false
Royale,Black,Loose,"Black Tea from the South African Honeybush.  Rich flavor of vanilla bean, blackcurrant essence, and a hint of bergamont oil.",Jolie Tea Company,royale.webp,false
S'Mores Chai,Chai,Loose,"*Contains Hazelnut.  This Pu'erh tea is perfect if you enjoy gooey toasted marshmallows, graham cracker and dark chocolate.  You'll be asking for s'more! ",DavidsTEA,smores-chai.webp,false
Scots Breakfast,Black,Loose,"A unique and delicious blend of oat flakes, cinnamonm cocoa husks, and vanilla. This tea can only be bought and found in Scotland!",T2,scots-breakfast.jpg,false
Sencha,Green,Loose,"Japanese Sencha is a popular green tea from the Shizouka region near Mount Fuji in Japan.   It may have an astringent taste which typically evolves from sour to sweet to savory. Many enjoy the hints of grassy fresh flavor.",Jolie Tea Company,japanese-sencha.jpeg,false
Spicy Chai Tea Latte Mix,Chai,Powdered,"A sugary flavor punch of chai tea.  Perfect for a tea latte.  This powdered blend includes darjeeling tea, honey granules, cinnamon, clove, cardamom, anise, ginger, and bourbon vanilla extract.",Trader Joe's,spicy-chai.jpg,false
Stardust!,Green,Loose,"Chinese Sencha-style green tea with pomegranate pieces, lavender flowers, ginger root, calendula flowers, and rose petals.",Jolie Tea Company,stardust.png,false
Strawberry Green,Green,Loose,Looking to spice up your green tea? Look no further! This sencha green tea is paired with rose hips and strawberry extract to add a smooth and slight extra flavor to your tea time.,Jolie Tea Company,strawberry-green.png,false
Sweet Fennel Chai,Chai,Powdered,The spice essences have been delicately prepared to peserve  their potency and magical flavor.  This chai tea is packed with a punch of sweet spices!,Evergreen,sweet-fennel-chai.webp,false
Sweet Himalayan ,Green,Loose,"Shatavari, Tumeric, Stevia, Cardamom, & Ashwagandha",Vahdam Teas,sweet-himalayan.jpg,false
Thai Tea Gold Label,Black,Bagged,"Bold sweet black tea straight from Thailand.  Perfection is reached with milk and sugar turning the tea an orange color.  This tea is packed with flavor, smooth and creamy.",Original Thai Tea Gold Label,original-thai.jpg,true
Tuocha,Pu-Erh,Nest Cakes,"A cooked Pu-Erh that is shaped into small nest-like cakes and wrapped in paper (unwrap before steeping.) Tuocha is one of the most popular forms of Pu-Erh – cooked or raw and is earthy and smooth. It is recommended to drink it after a big meal and steep several times.",The Random Tea Room,tuocha.jpeg,false
Vanilla,Black,Loose,"Sri Lankan black tea with vanilla bean pieces. ",Jolie Tea Company,vanilla.webp,false
Wild Pu'Erh,Pu-Erh,Loose,"Wild Pu-erh has earthy flavors of birch bark, Brazil nut and tamarind. It is comprised of small compressed pieces that make for easy brewing. Just add 3 or more chunks to your cup or teapot and steep. In making the Puer, tea leaves are processed with a fair amount of moisture so as to allow a natural fermentation to occur and darken their color. Some tea processors will let the leaves undergo this fermentation for a month to achieve the desired flavor. This style of puer is called the Wo-dui style, or cooked leaf style puer.",The Random Tea Room,wild-puerh.jpeg,false
Young Hyson,Green,Loose,"Made from young leaves that are thinly rolled to have a long, twisted appearance that unfurls when brewed. Some believe it to have been named after an English tea merchant, Phillip Hyson.  Hyson and Young Hyson tea were highly prized by the colonial Americans and tax on hyson was higher than for other teas.  During the Boston Tea Party there were 70 chests of Hyson destroyed.",Oliver Pluff & Company,young-hyson.jpg,false
